X,Y,Z,formation
253530.8329617298,6425729.586981943,339.27913760016816,Fault_334
253489.71063744367,6423914.4779197965,348.51343598381146,Fault_334
251200.0896936368,6417473.343752993,400.5170619484303,Fault_334
255043.27820271012,6428600.656730795,329.37148226600766,Fault_546
256499.43317793938,6430461.736525597,373.5634616557998,Fault_546
256845.9597876015,6431557.863124373,389.25293598000115,Fault_546
259588.80679035585,6433444.23841219,477.0749997329218,Fault_546
266111.1707627302,6412921.568257909,416.1442725186792,Fault_331
263935.1237282062,6419936.583806425,392.2032315504417,Fault_331
263235.29953309754,6424590.593163162,381.2588097598389,Fault_331
270592.4785697115,6447476.625946129,447.9999999999999,Fault_338
275548.3980872015,6446554.81945425,479.4899917500559,Fault_338
275729.11150159827,6446523.181420224,480.749303612838,Fault_338
278306.29120098555,6446008.74030458,504.6422919956188,Fault_338
294399.34359801456,6442787.280363176,456.2825954781697,Fault_341
292739.0885014407,6440867.528784471,509.3448339705976,Fault_341
289519.51979993505,6440235.780889494,616.3732241227225,Fault_341
297642.7900217952,6446090.345515881,404.4517112366621,Fault_343
298160.4748696504,6442547.901215332,427.9420148512162,Fault_343
298315.53584039165,6440659.585191289,438.2643825444947,Fault_343
300211.4223179467,6448933.847985736,363.69308158139665,Fault_344
300735.54398875276,6444537.027319721,404.7411231483566,Fault_344
300888.6055450741,6443320.024998216,412.23542020338124,Fault_344
